zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,latLong,isZillowOwned,flexFieldText,flexFieldType,contentType,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,list,relaxed,info1String,brokerName,carouselPhotos,hasOpenHouse,openHouseStartDate,openHouseEndDate,openHouseDescription
442393228,442393228,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/20bb6f7ea6d22b4735999a362a43a3ff-p_e.jpg,true,https://www.zillow.com/homedetails/1585-Alexis-Rd-Windsor-ON-N8Y-4P1/442393228_zpid/,FOR_SALE,House for sale,C$,"C$400,000",400000,"1585 Alexis Rd, Windsor, ON N8Y 4P1",1585 Alexis Rd,Windsor,ON,N8Y4P1,false,4,3,[object Object],false,Gorgeous kitchen,homeInsight,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24027112,Vision Realty Local Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
442337656,442337656,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8d477a2f78b81146cf602c7f953f598a-p_e.jpg,true,https://www.zillow.com/homedetails/684-Bridge-Ave-Windsor-ON-N9B-2M6/442337656_zpid/,FOR_SALE,House for sale,C$,"C$199,000",199000,"684 Bridge Ave, Windsor, ON N9B 2M6",684 Bridge Ave,Windsor,ON,N9B2M6,false,3,1,[object Object],false,Clean and cozy home,homeInsight,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24026894,Nu Stream Realty (Toronto) Inc Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
442455009,442455009,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3b15ac22cfe118eed4600e23ed1a1365-p_e.jpg,true,https://www.zillow.com/homedetails/1772-Byng-Rd-Windsor-ON-N8W-3C8/442455009_zpid/,FOR_SALE,House for sale,C$,"C$299,900",299900,"1772 Byng Rd, Windsor, ON N8W 3C8",1772 Byng Rd,Windsor,ON,N8W3C8,false,5,2,[object Object],false,Quiet cul-de-sac,homeInsight,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24027304,The Signature Group Realty Inc Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
2062400248,2062400248,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0b9f5252641f76de275d0e024139edc5-p_e.jpg,true,https://www.zillow.com/homedetails/916-Laporte-Ave-Windsor-ON-N8S-3R5/2062400248_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"916 Laporte Ave, Windsor, ON N8S 3R5",916 Laporte Ave,Windsor,ON,N8S3R5,false,3,2,[object Object],false,Gas fireplace,homeInsight,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24027027,Re/Max Preferred Realty Ltd. - 585 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
442450794,442450794,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/293d6f9903e0103ad250c707569d109a-p_e.jpg,true,https://www.zillow.com/homedetails/5055-Riverside-Dr-E-803-Windsor-ON-N8Y-5A6/442450794_zpid/,FOR_SALE,Condo for sale,C$,"C$799,900",799900,"5055 Riverside Dr E #803, Windsor, ON N8Y 5A6",5055 Riverside Dr E #803,Windsor,ON,N8Y5A6,false,2,2,[object Object],false,Detroit river,homeInsight,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24027262,Royal Lepage Binder Real Estate Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
442361580,442361580,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/ec3e982a4b17a37b42313c66f93210a4-p_e.jpg,true,https://www.zillow.com/homedetails/2810-Randolph-Ave-Windsor-ON-N9E-3E2/442361580_zpid/,FOR_SALE,House for sale,C$,"C$599,900",599900,"2810 Randolph Ave, Windsor, ON N9E 3E2",2810 Randolph Ave,Windsor,ON,N9E3E2,false,4,2,[object Object],false,Comfort and functionality,homeInsight,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24026956,Royal Lepage Binder Real Estate - 642 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
440146333,440146333,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d197b28daa0e42821a1e1ee46e951181-p_e.jpg,true,https://www.zillow.com/homedetails/1005-Hacienda-Way-Windsor-ON-N9G-2T7/440146333_zpid/,FOR_SALE,House for sale,C$,"C$549,000",549000,"1005 Hacienda Way, Windsor, ON N9G 2T7",1005 Hacienda Way,Windsor,ON,N9G2T7,false,2,2,[object Object],false,End unit,homeInsight,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24020417,Re/Max Preferred Realty Ltd. - 586 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
441695262,441695262,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f7baae564513ac6ef3edcba24ac9db1c-p_e.jpg,true,https://www.zillow.com/homedetails/2505-Askin-Ave-Windsor-ON-N9E-3H8/441695262_zpid/,FOR_SALE,House for sale,C$,"C$549,900",549900,"2505 Askin Ave, Windsor, ON N9E 3H8",2505 Askin Ave,Windsor,ON,N9E3H8,false,3,2,[object Object],false,All brick,homeInsight,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024195,Manor Windsor Realty Ltd. - 455 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
2062731040,2062731040,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/50a8270ec9ac517a5975096732379678-p_e.jpg,true,https://www.zillow.com/homedetails/3181-Harmony-Dr-Windsor-ON-N8T-2J9/2062731040_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"3181 Harmony Dr, Windsor, ON N8T 2J9",3181 Harmony Dr,Windsor,ON,N8T2J9,false,3,2,[object Object],false,Spacious property,homeInsight,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24026766,Keller Williams Lifestyles Realty Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
2056225285,2056225285,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8db5e7596f11f0c2ba887a158e32a80f-p_e.jpg,true,https://www.zillow.com/homedetails/2203-Turner-Rd-Windsor-ON-N8W-3K4/2056225285_zpid/,FOR_SALE,House for sale,C$,"C$409,900",409900,"2203 Turner Rd, Windsor, ON N8W 3K4",2203 Turner Rd,Windsor,ON,N8W3K4,false,3,2,[object Object],false,Rear parking,homeInsight,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24018500,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
